Code,Description
B391,Chronic pulmonary histoplasmosis capsulati
B392,"Pulmonary histoplasmosis capsulati, unspecified"
B393,Disseminated histoplasmosis capsulati
B394,"Histoplasmosis capsulati, unspecified"
B395,Histoplasmosis duboisii
B399,"Histoplasmosis, unspecified"
B400,Acute pulmonary blastomycosis
B401,Chronic pulmonary blastomycosis
B402,"Pulmonary blastomycosis, unspecified"
B403,Cutaneous blastomycosis
B407,Disseminated blastomycosis
B4081,Blastomycotic meningoencephalitis
B4089,Other forms of blastomycosis
B409,"Blastomycosis, unspecified"
B410,Pulmonary paracoccidioidomycosis
B417,Disseminated paracoccidioidomycosis
B418,Other forms of paracoccidioidomycosis
B419,"Paracoccidioidomycosis, unspecified"
B420,Pulmonary sporotrichosis
B421,Lymphocutaneous sporotrichosis
B427,Disseminated sporotrichosis
B4281,Cerebral sporotrichosis
B4282,Sporotrichosis arthritis
B4289,Other forms of sporotrichosis
B429,"Sporotrichosis, unspecified"
B430,Cutaneous chromomycosis
B431,Pheomycotic brain abscess
B432,Subcutaneous pheomycotic abscess and cyst
B438,Other forms of chromomycosis
B439,"Chromomycosis, unspecified"
B440,Invasive pulmonary aspergillosis
B441,Other pulmonary aspergillosis
B442,Tonsillar aspergillosis
B447,Disseminated aspergillosis
B4481,Allergic bronchopulmonary aspergillosis
B4489,Other forms of aspergillosis
B449,"Aspergillosis, unspecified"
B450,Pulmonary cryptococcosis
B451,Cerebral cryptococcosis
B452,Cutaneous cryptococcosis
B453,Osseous cryptococcosis
B457,Disseminated cryptococcosis
B458,Other forms of cryptococcosis
B459,"Cryptococcosis, unspecified"
B460,Pulmonary mucormycosis
B461,Rhinocerebral mucormycosis
B462,Gastrointestinal mucormycosis
B463,Cutaneous mucormycosis
B464,Disseminated mucormycosis
B465,"Mucormycosis, unspecified"
B468,Other zygomycoses
B469,"Zygomycosis, unspecified"
B470,Eumycetoma
B471,Actinomycetoma
B479,"Mycetoma, unspecified"
B480,Lobomycosis
B481,Rhinosporidiosis
B482,Allescheriasis
B483,Geotrichosis
B484,Penicillosis
B488,Other specified mycoses
B49,Unspecified mycosis
B500,Plasmodium falciparum malaria with cerebral complications
B508,Other severe and complicated Plasmodium falciparum malaria
B509,"Plasmodium falciparum malaria, unspecified"
B510,Plasmodium vivax malaria with rupture of spleen
B518,Plasmodium vivax malaria with other complications
B519,Plasmodium vivax malaria without complication
B520,Plasmodium malariae malaria with nephropathy
B528,Plasmodium malariae malaria with other complications
B529,Plasmodium malariae malaria without complication
B530,Plasmodium ovale malaria
B531,Malaria due to simian plasmodia
B538,"Other malaria, not elsewhere classified"
B54,Unspecified malaria
B550,Visceral leishmaniasis
B551,Cutaneous leishmaniasis
B552,Mucocutaneous leishmaniasis
B559,"Leishmaniasis, unspecified"
B560,Gambiense trypanosomiasis
B561,Rhodesiense trypanosomiasis
B569,"African trypanosomiasis, unspecified"
B570,Acute Chagas' disease with heart involvement
B571,Acute Chagas' disease without heart involvement
B572,Chagas' disease (chronic) with heart involvement
B5730,"Chagas' disease with digestive system involvement, unspecified"
B5731,Megaesophagus in Chagas' disease
B5732,Megacolon in Chagas' disease
B5739,Other digestive system involvement in Chagas' disease
B5740,"Chagas' disease with nervous system involvement, unspecified"
B5741,Meningitis in Chagas' disease
B5742,Meningoencephalitis in Chagas' disease
B5749,Other nervous system involvement in Chagas' disease
B575,Chagas' disease (chronic) with other organ involvement
B5800,"Toxoplasma oculopathy, unspecified"
B5801,Toxoplasma chorioretinitis
B5809,Other toxoplasma oculopathy
B581,Toxoplasma hepatitis
B582,Toxoplasma meningoencephalitis
B583,Pulmonary toxoplasmosis
B5881,Toxoplasma myocarditis
B5882,Toxoplasma myositis
B5883,Toxoplasma tubulo-interstitial nephropathy
B5889,Toxoplasmosis with other organ involvement
B589,"Toxoplasmosis, unspecified"
B59,Pneumocystosis
B600,Babesiosis
B6010,"Acanthamebiasis, unspecified"
B6011,Meningoencephalitis due to Acanthamoeba (culbertsoni)
B6012,Conjunctivitis due to Acanthamoeba
B6013,Keratoconjunctivitis due to Acanthamoeba
B6019,Other acanthamebic disease
B602,Naegleriasis
B608,Other specified protozoal diseases
B64,Unspecified protozoal disease
B650,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]
B651,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]
B652,Schistosomiasis due to Schistosoma japonicum
B653,Cercarial dermatitis
B658,Other schistosomiasis
B659,"Schistosomiasis, unspecified"
B660,Opisthorchiasis
B661,Clonorchiasis
B662,Dicroceliasis
B663,Fascioliasis
B664,Paragonimiasis
B665,Fasciolopsiasis
B668,Other specified fluke infections
B669,"Fluke infection, unspecified"
B670,Echinococcus granulosus infection of liver
B671,Echinococcus granulosus infection of lung
B672,Echinococcus granulosus infection of bone
B6731,"Echinococcus granulosus infection, thyroid gland"
B6732,"Echinococcus granulosus infection, multiple sites"
B6739,"Echinococcus granulosus infection, other sites"
B674,"Echinococcus granulosus infection, unspecified"
B675,Echinococcus multilocularis infection of liver
B6761,"Echinococcus multilocularis infection, multiple sites"
B6769,"Echinococcus multilocularis infection, other sites"
B677,"Echinococcus multilocularis infection, unspecified"
B678,"Echinococcosis, unspecified, of liver"
B6790,"Echinococcosis, unspecified"
B6799,Other echinococcosis
B680,Taenia solium taeniasis
B681,Taenia saginata taeniasis
B689,"Taeniasis, unspecified"
B690,Cysticercosis of central nervous system
B691,Cysticercosis of eye
B6981,Myositis in cysticercosis
B6989,Cysticercosis of other sites
B699,"Cysticercosis, unspecified"
B700,Diphyllobothriasis
B701,Sparganosis
B710,Hymenolepiasis
B711,Dipylidiasis
B718,Other specified cestode infections
B719,"Cestode infection, unspecified"
B72,Dracunculiasis
B7300,"Onchocerciasis with eye involvement, unspecified"
B7301,Onchocerciasis with endophthalmitis
B7302,Onchocerciasis with glaucoma
B7309,Onchocerciasis with other eye involvement
B731,Onchocerciasis without eye disease
B740,Filariasis due to Wuchereria bancrofti
B741,Filariasis due to Brugia malayi
B742,Filariasis due to Brugia timori
B743,Loiasis
B744,Mansonelliasis
B748,Other filariases
B749,"Filariasis, unspecified"
B75,Trichinellosis
B760,Ancylostomiasis
B761,Necatoriasis
B768,Other hookworm diseases
B769,"Hookworm disease, unspecified"
B770,Ascariasis with intestinal complications
B7781,Ascariasis pneumonia
B7789,Ascariasis with other complications
B779,"Ascariasis, unspecified"
B780,Intestinal strongyloidiasis
B781,Cutaneous strongyloidiasis
B787,Disseminated strongyloidiasis
B789,"Strongyloidiasis, unspecified"
B79,Trichuriasis
B80,Enterobiasis
B810,Anisakiasis
B811,Intestinal capillariasis
B812,Trichostrongyliasis
B813,Intestinal angiostrongyliasis
B814,Mixed intestinal helminthiases
B818,Other specified intestinal helminthiases
B820,"Intestinal helminthiasis, unspecified"
B829,"Intestinal parasitism, unspecified"
B830,Visceral larva migrans
B831,Gnathostomiasis
B832,Angiostrongyliasis due to Parastrongylus cantonensis
B833,Syngamiasis
B834,Internal hirudiniasis
B838,Other specified helminthiases
B839,"Helminthiasis, unspecified"
B850,Pediculosis due to Pediculus humanus capitis
B851,Pediculosis due to Pediculus humanus corporis
B852,"Pediculosis, unspecified"
B853,Phthiriasis
B854,Mixed pediculosis and phthiriasis
B86,Scabies
B870,Cutaneous myiasis
B871,Wound myiasis
B872,Ocular myiasis
B873,Nasopharyngeal myiasis
B874,Aural myiasis
B8781,Genitourinary myiasis
B8782,Intestinal myiasis
B8789,Myiasis of other sites
B879,"Myiasis, unspecified"
B880,Other acariasis
B881,Tungiasis [sandflea infestation]
B882,Other arthropod infestations
B883,External hirudiniasis
B888,Other specified infestations
B889,"Infestation, unspecified"
B89,Unspecified parasitic disease
B900,Sequelae of central nervous system tuberculosis
B901,Sequelae of genitourinary tuberculosis
B902,Sequelae of tuberculosis of bones and joints
B908,Sequelae of tuberculosis of other organs
B909,Sequelae of respiratory and unspecified tuberculosis
B91,Sequelae of poliomyelitis
B92,Sequelae of leprosy
B940,Sequelae of trachoma
B941,Sequelae of viral encephalitis
B942,Sequelae of viral hepatitis
B948,Sequelae of other specified infectious and parasitic diseases
B949,Sequelae of unspecified infectious and parasitic disease
B950,"Streptococcus, group A, as the cause of diseases classified elsewhere"
B951,"Streptococcus, group B, as the cause of diseases classified elsewhere"
B952,Enterococcus as the cause of diseases classified elsewhere
B953,Streptococcus pneumoniae as the cause of diseases classified elsewhere
B954,Other streptococcus as the cause of diseases classified elsewhere
B955,Unspecified streptococcus as the cause of diseases classified elsewhere
B9561,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified
B9562,Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified
B957,Other staphylococcus as the cause of diseases classified elsewhere
B958,Unspecified staphylococcus as the cause of diseases classified elsewhere
B960,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified elsewhere
B961,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere
B9620,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B9621,Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157 as the cause of diseases classified
B9622,Other specified Shiga toxin-producing Escherichia coli [E. coli] (STEC) as the cause of diseases classified
B9623,Unspecified Shiga toxin-producing Escherichia coli [E. coli] (STEC) as the cause of diseases classified
B9629,Other Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B963,Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere
B964,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere
B965,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere
B966,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere
B967,Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere
B9681,Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere
B9682,Vibrio vulnificus as the cause of diseases classified elsewhere
B9689,Other specified bacterial agents as the cause of diseases classified elsewhere
B970,Adenovirus as the cause of diseases classified elsewhere
B9710,Unspecified enterovirus as the cause of diseases classified elsewhere
B9711,Coxsackievirus as the cause of diseases classified elsewhere
B9712,Echovirus as the cause of diseases classified elsewhere
B9719,Other enterovirus as the cause of diseases classified elsewhere
B9721,SARS-associated coronavirus as the cause of diseases classified elsewhere
B9729,Other coronavirus as the cause of diseases classified elsewhere
B9730,Unspecified retrovirus as the cause of diseases classified elsewhere
B9731,Lentivirus as the cause of diseases classified elsewhere
B9732,Oncovirus as the cause of diseases classified elsewhere
B9733,"Human T-cell lymphotrophic virus, type I [HTLV-I] as the cause of diseases classified elsewhere"
B9734,"Human T-cell lymphotrophic virus, type II [HTLV-II] as the cause of diseases classified elsewhere"
B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere"
B9739,Other retrovirus as the cause of diseases classified elsewhere
B974,Respiratory syncytial virus as the cause of diseases classified elsewhere
B975,Reovirus as the cause of diseases classified elsewhere
B976,Parvovirus as the cause of diseases classified elsewhere
B977,Papillomavirus as the cause of diseases classified elsewhere
B9781,Human metapneumovirus as the cause of diseases classified elsewhere
B9789,Other viral agents as the cause of diseases classified elsewhere
B998,Other infectious disease
B999,Unspecified infectious disease
C000,Malignant neoplasm of external upper lip
C001,Malignant neoplasm of external lower lip
C002,"Malignant neoplasm of external lip, unspecified"
C003,"Malignant neoplasm of upper lip, inner aspect"
C004,"Malignant neoplasm of lower lip, inner aspect"
C005,"Malignant neoplasm of lip, unspecified, inner aspect"
C006,"Malignant neoplasm of commissure of lip, unspecified"
C008,Malignant neoplasm of overlapping sites of lip
C009,"Malignant neoplasm of lip, unspecified"
C01,Malignant neoplasm of base of tongue
C020,Malignant neoplasm of dorsal surface of tongue
C021,Malignant neoplasm of border of tongue
C022,Malignant neoplasm of ventral surface of tongue
C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified"
C024,Malignant neoplasm of lingual tonsil
C028,Malignant neoplasm of overlapping sites of tongue
C029,"Malignant neoplasm of tongue, unspecified"
C030,Malignant neoplasm of upper gum
C031,Malignant neoplasm of lower gum
C039,"Malignant neoplasm of gum, unspecified"
C040,Malignant neoplasm of anterior floor of mouth
C041,Malignant neoplasm of lateral floor of mouth
C048,Malignant neoplasm of overlapping sites of floor of mouth
C049,"Malignant neoplasm of floor of mouth, unspecified"
C050,Malignant neoplasm of hard palate
C051,Malignant neoplasm of soft palate
C052,Malignant neoplasm of uvula
C058,Malignant neoplasm of overlapping sites of palate
C059,"Malignant neoplasm of palate, unspecified"
C060,Malignant neoplasm of cheek mucosa
C061,Malignant neoplasm of vestibule of mouth
C062,Malignant neoplasm of retromolar area
C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth
C0689,Malignant neoplasm of overlapping sites of other parts of mouth
C069,"Malignant neoplasm of mouth, unspecified"
C07,Malignant neoplasm of parotid gland
C080,Malignant neoplasm of submandibular gland
C081,Malignant neoplasm of sublingual gland
C089,"Malignant neoplasm of major salivary gland, unspecified"
C090,Malignant neoplasm of tonsillar fossa
C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior)
C098,Malignant neoplasm of overlapping sites of tonsil
C099,"Malignant neoplasm of tonsil, unspecified"
C100,Malignant neoplasm of vallecula
C101,Malignant neoplasm of anterior surface of epiglottis
C102,Malignant neoplasm of lateral wall of oropharynx
C103,Malignant neoplasm of posterior wall of oropharynx
